Small_up_width,Small_depth,Small_scallps_length,Small_scallps_height,Small_angle,Large_up_width,Large_depth,Large_scallps_length,Large_scallps_height,Large_angle
9.2,54.49,1.213,0.2605,89.81283515366377,51.78,72.99,1.44,0.4019,89.56041913978306
8.311,52.7,1.012,0.2456,89.72059015925379,51.78,72.99,1.44,0.4019,89.56041913978306
6.986,50.55,1.005,0.2382,89.90705737291596,51.78,72.99,1.44,0.4019,89.56041913978306
6.15,48.41,1.02,0.2456,89.71950028383552,51.78,72.99,1.44,0.4019,89.56041913978306
4.889,45.04,0.9453,0.201,89.9058640348817,51.78,72.99,1.44,0.4019,89.56041913978306
3.568,40.83,0.8039,0.1786,89.81476814727222,51.78,72.99,1.44,0.4019,89.56041913978306
3.387,39.58,0.8039,0.1954,90.0,51.78,72.99,1.44,0.4019,89.56041913978306
41.31,70.62,1.518,0.3908,88.97783881137022,51.12,72.78,1.597,0.3908,88.14274970283061
31.3,68.7,1.362,0.3126,89.0243146709434,51.12,72.78,1.597,0.3908,88.14274970283061
21.21,64.53,1.34,0.3126,89.29859902816158,51.12,72.78,1.597,0.3908,88.14274970283061
19.0,63.7,1.273,0.2791,89.24449504923719,51.12,72.78,1.597,0.3908,88.14274970283061
17.31,62.52,1.273,0.2791,89.89919179073839,51.12,72.78,1.597,0.3908,88.14274970283061
14.96,60.85,1.25,0.268,89.47272422763561,51.12,72.78,1.597,0.3908,88.14274970283061
13.29,58.73,1.094,0.2456,89.78537353082805,51.12,72.78,1.597,0.3908,88.14274970283061
11.5,56.72,1.116,0.2456,89.88888350061701,51.12,72.78,1.597,0.3908,88.14274970283061
9.917,55.86,1.105,0.2455,89.27896873076887,51.12,72.78,1.597,0.3908,88.14274970283061
9.222,54.38,1.027,0.2456,90.0,51.12,72.78,1.597,0.3908,88.14274970283061
8.542,52.13,1.083,0.2121,90.0,51.12,72.78,1.597,0.3908,88.14274970283061
7.415,50.48,0.9825,0.2568,90.0,51.12,72.78,1.597,0.3908,88.14274970283061
6.426,48.5,1.005,0.1786,90.0,51.12,72.78,1.597,0.3908,88.14274970283061
4.809,45.33,0.882,0.201,89.80029348108104,51.12,72.78,1.597,0.3908,88.14274970283061
4.046,42.53,0.7815,0.1563,90.0,51.12,72.78,1.597,0.3908,88.14274970283061
3.105,38.39,0.7704,0.1675,90.0,51.12,72.78,1.597,0.3908,88.14274970283061
41.98,71.8,1.496,0.3461,89.09834420403362,52.72,73.42,1.53,0.3238,89.78929732045772
32.09,69.72,1.485,0.3573,89.55623777572096,52.72,73.42,1.53,0.3238,89.78929732045772
22.1,65.87,1.362,0.3349,89.90431865966737,52.72,73.42,1.53,0.3238,89.78929732045772
19.56,64.96,1.34,0.268,89.78831704869184,52.72,73.42,1.53,0.3238,89.78929732045772
17.48,63.34,1.228,0.2791,89.8009943036897,52.72,73.42,1.53,0.3238,89.78929732045772
15.59,61.44,1.351,0.3126,90.0,52.72,73.42,1.53,0.3238,89.78929732045772
13.4,59.62,1.139,0.2568,89.89428834963132,52.72,73.42,1.53,0.3238,89.78929732045772
11.5,57.83,1.217,0.3015,89.89101628660876,52.72,73.42,1.53,0.3238,89.78929732045772
10.48,56.49,0.9714,0.2345,89.90871630743179,52.72,73.42,1.53,0.3238,89.78929732045772
9.468,54.93,1.239,0.2903,89.81329131203027,52.72,73.42,1.53,0.3238,89.78929732045772
8.644,52.78,1.016,0.2345,89.72644132769521,52.72,73.42,1.53,0.3238,89.78929732045772
7.184,50.7,1.15,0.2791,89.65645545885158,52.72,73.42,1.53,0.3238,89.78929732045772
6.145,48.98,0.9267,0.201,89.89004090114285,52.72,73.42,1.53,0.3238,89.78929732045772
5.071,46.05,0.949,0.1898,90.0,52.72,73.42,1.53,0.3238,89.78929732045772
4.182,43.04,0.7927,0.1451,89.82028566756377,52.72,73.42,1.53,0.3238,89.78929732045772
2.708,37.06,0.642,0.134,89.62895858454934,52.72,73.42,1.53,0.3238,89.78929732045772
41.95,71.69,1.407,0.3015,89.5844150808519,52.28,71.73,1.451,0.3461,89.36101041064543
31.71,68.22,1.373,0.3461,89.25256008406416,52.28,71.73,1.451,0.3461,89.36101041064543
21.78,64.75,1.362,0.3015,89.79647916813167,52.28,71.73,1.451,0.3461,89.36101041064543
19.43,63.53,1.273,0.2568,89.39576972829026,52.28,71.73,1.451,0.3461,89.36101041064543
17.67,62.34,1.295,0.3238,90.0,52.28,71.73,1.451,0.3461,89.36101041064543
15.52,60.63,1.284,0.2903,89.89604933479697,52.28,71.73,1.451,0.3461,89.36101041064543
13.57,59.13,1.172,0.2791,89.89341233762956,52.28,71.73,1.451,0.3461,89.36101041064543
11.55,56.88,1.128,0.282,89.70788269884582,52.28,71.73,1.451,0.3461,89.36101041064543
10.48,55.43,1.25,0.2121,89.89663410183454,52.28,71.73,1.451,0.3461,89.36101041064543
9.416,54.14,1.105,0.2233,89.89628776764471,52.28,71.73,1.451,0.3461,89.36101041064543
8.307,52.88,1.116,0.3015,90.0,52.28,71.73,1.451,0.3461,89.36101041064543
7.301,50.6,0.9379,0.2233,90.0,52.28,71.73,1.451,0.3461,89.36101041064543
5.959,48.6,0.949,0.2121,89.66990451100149,52.28,71.73,1.451,0.3461,89.36101041064543
5.398,45.75,0.9155,0.201,89.89229658504242,52.28,71.73,1.451,0.3461,89.36101041064543
4.16,42.66,0.9267,0.2121,89.69512378815976,52.28,71.73,1.451,0.3461,89.36101041064543
2.684,37.0,0.7313,0.1675,89.43789998089501,52.28,71.73,1.451,0.3461,89.36101041064543
41.17,74.25,1.44,0.3349,89.02780129840788,51.92,75.5,1.552,0.3684,89.15769889233523
31.51,71.46,1.451,0.3573,89.30247879131137,51.92,75.5,1.552,0.3684,89.15769889233523
21.46,67.61,1.295,0.3349,89.3644420629158,51.92,75.5,1.552,0.3684,89.15769889233523
19.2,66.43,1.329,0.3238,89.42214555631433,51.92,75.5,1.552,0.3684,89.15769889233523
16.75,64.76,1.351,0.3238,88.91190030342035,51.92,75.5,1.552,0.3684,89.15769889233523
15.52,63.31,1.329,0.3238,89.80090000385019,51.92,75.5,1.552,0.3684,89.15769889233523
13.4,61.51,1.262,0.3126,90.0,51.92,75.5,1.552,0.3684,89.15769889233523
11.57,59.38,1.05,0.2531,89.90351006172466,51.92,75.5,1.552,0.3684,89.15769889233523
10.14,58.24,1.139,0.2754,89.72454164386475,51.92,75.5,1.552,0.3684,89.15769889233523
9.626,55.93,1.072,0.268,90.0,51.92,75.5,1.552,0.3684,89.15769889233523
8.095,54.34,1.128,0.2903,89.78595897800862,51.92,75.5,1.552,0.3684,89.15769889233523
7.433,51.94,0.9825,0.2345,89.7926153348397,51.92,75.5,1.552,0.3684,89.15769889233523
6.21,49.76,0.949,0.2233,89.90327892067126,51.92,75.5,1.552,0.3684,89.15769889233523
5.425,47.36,0.815,0.1786,89.73384753319841,51.92,75.5,1.552,0.3684,89.15769889233523
41.5,75.44,1.585,0.4019,89.35446246217971,51.87,75.33,1.585,0.4354,89.596890188597
31.7,72.5,1.44,0.4578,89.72340183385693,51.87,75.33,1.585,0.4354,89.596890188597
21.21,68.44,1.474,0.3461,89.80745207950261,51.87,75.33,1.585,0.4354,89.596890188597
19.66,66.95,1.351,0.3349,89.7004728880215,51.87,75.33,1.585,0.4354,89.596890188597
17.19,65.65,1.34,0.3126,89.80799658326534,51.87,75.33,1.585,0.4354,89.596890188597
15.3,63.86,1.273,0.3349,89.79364277626296,51.87,75.33,1.585,0.4354,89.596890188597
13.06,61.97,1.429,0.3461,89.89829709331798,51.87,75.33,1.585,0.4354,89.596890188597
11.05,59.17,1.139,0.2791,89.78696952158097,51.87,75.33,1.585,0.4354,89.596890188597
10.04,57.96,1.094,0.2903,89.76176322834752,51.87,75.33,1.585,0.4354,89.596890188597
9.044,56.27,1.206,0.3126,89.88595843555663,51.87,75.33,1.585,0.4354,89.596890188597
8.208,54.63,1.116,0.201,89.5217596796597,51.87,75.33,1.585,0.4354,89.596890188597
7.174,52.75,1.016,0.2568,89.8099199122266,51.87,75.33,1.585,0.4354,89.596890188597
5.912,49.61,0.882,0.2121,89.80250877856744,51.87,75.33,1.585,0.4354,89.596890188597
5.204,47.78,0.9379,0.1451,89.71580183382464,51.87,75.33,1.585,0.4354,89.596890188597
3.605,42.46,0.7481,0.134,89.90958987185034,51.87,75.33,1.585,0.4354,89.596890188597
3.408,41.51,0.7425,0.1563,89.90614045960646,51.87,75.33,1.585,0.4354,89.596890188597
41.48,72.88,1.507,0.3684,89.30820752181387,52.1,73.35,1.496,0.3238,89.53914409146216
31.6,70.23,1.574,0.2903,89.73077789995064,52.1,73.35,1.496,0.3238,89.53914409146216
21.44,66.21,1.384,0.3349,89.90480999927915,52.1,73.35,1.496,0.3238,89.53914409146216
19.2,64.98,1.407,0.3126,89.79719953439314,52.1,73.35,1.496,0.3238,89.53914409146216
17.33,63.81,1.384,0.3126,89.78450208052799,52.1,73.35,1.496,0.3238,89.53914409146216
15.52,62.08,1.161,0.2568,89.89847730105474,52.1,73.35,1.496,0.3238,89.53914409146216
13.27,60.52,1.172,0.2456,89.89586039646234,52.1,73.35,1.496,0.3238,89.53914409146216
11.3,58.09,1.161,0.201,90.0,52.1,73.35,1.496,0.3238,89.53914409146216
10.38,56.38,1.038,0.2233,89.77642767795071,52.1,73.35,1.496,0.3238,89.53914409146216
9.155,54.71,1.139,0.2121,89.88375392433672,52.1,73.35,1.496,0.3238,89.53914409146216
8.303,53.16,1.116,0.2233,89.80599697331137,52.1,73.35,1.496,0.3238,89.53914409146216
7.17,51.21,1.128,0.2121,89.89594802505671,52.1,73.35,1.496,0.3238,89.53914409146216
5.918,48.74,0.9937,0.1898,89.9036058783885,52.1,73.35,1.496,0.3238,89.53914409146216
5.544,46.07,0.8485,0.1451,89.47145614150048,52.1,73.35,1.496,0.3238,89.53914409146216
4.198,43.05,0.8039,0.1675,89.88154896371988,52.1,73.35,1.496,0.3238,89.53914409146216
2.907,39.03,0.7704,0.1507,89.87815673761374,52.1,73.35,1.496,0.3238,89.53914409146216
41.73,74.11,1.563,0.4131,89.67529389055538,52.06,75.36,1.507,0.3349,89.47541158224101
31.63,71.33,1.396,0.3349,89.50199791487078,52.06,75.36,1.507,0.3349,89.47541158224101
21.66,67.21,1.317,0.3015,90.0,52.06,75.36,1.507,0.3349,89.47541158224101
19.54,65.87,1.329,0.268,89.80863785299401,52.06,75.36,1.507,0.3349,89.47541158224101
17.64,64.65,1.317,0.268,89.70754148446385,52.06,75.36,1.507,0.3349,89.47541158224101
15.52,62.97,1.217,0.2568,89.89991219095357,52.06,75.36,1.507,0.3349,89.47541158224101
13.4,60.96,1.198,0.268,89.89661205862981,52.06,75.36,1.507,0.3349,89.47541158224101
11.47,58.57,1.169,0.2531,89.69674704124976,52.06,75.36,1.507,0.3349,89.47541158224101
10.45,57.35,1.213,0.268,89.80018989627193,52.06,75.36,1.507,0.3349,89.47541158224101
9.118,55.73,1.176,0.2456,90.0,52.06,75.36,1.507,0.3349,89.47541158224101
8.417,54.28,1.072,0.2456,89.72766765302264,52.06,75.36,1.507,0.3349,89.47541158224101
7.128,51.53,1.124,0.2531,89.90548929086916,52.06,75.36,1.507,0.3349,89.47541158224101
6.135,49.63,1.027,0.2084,89.8152872665151,52.06,75.36,1.507,0.3349,89.47541158224101
5.258,47.08,0.9453,0.201,90.0,52.06,75.36,1.507,0.3349,89.47541158224101
4.168,43.84,0.9304,0.1786,89.959485199159,52.06,75.36,1.507,0.3349,89.47541158224101
3.466,39.82,0.7815,0.1563,89.90503470655341,52.06,75.36,1.507,0.3349,89.47541158224101
41.01,72.84,1.44,0.4131,89.86627862668655,51.88,74.25,1.518,0.3573,89.62960820123604
30.53,71.18,1.451,0.3573,88.81690327341757,51.88,74.25,1.518,0.3573,89.62960820123604
21.44,66.19,1.329,0.3461,89.76628229845423,51.88,74.25,1.518,0.3573,89.62960820123604
19.24,64.97,1.351,0.3573,89.74425633814377,51.88,74.25,1.518,0.3573,89.62960820123604
17.07,64.15,1.362,0.3238,89.74098732857759,51.88,74.25,1.518,0.3573,89.62960820123604
15.07,62.41,1.25,0.3461,89.8806530914266,51.88,74.25,1.518,0.3573,89.62960820123604
13.52,60.76,1.34,0.2903,89.74539567735187,51.88,74.25,1.518,0.3573,89.62960820123604
11.1,58.66,1.183,0.3349,89.78511741572326,51.88,74.25,1.518,0.3573,89.62960820123604
9.68,56.41,1.128,0.268,89.39060146455984,51.88,74.25,1.518,0.3573,89.62960820123604
9.237,55.53,1.161,0.3126,90.0,51.88,74.25,1.518,0.3573,89.62960820123604
8.039,53.93,1.05,0.2456,90.0,51.88,74.25,1.518,0.3573,89.62960820123604
7.068,51.58,1.027,0.2456,89.64787643588625,51.88,74.25,1.518,0.3573,89.62960820123604
5.938,49.15,0.949,0.2121,90.0,51.88,74.25,1.518,0.3573,89.62960820123604
4.756,46.11,0.882,0.2121,89.75893915334088,51.88,74.25,1.518,0.3573,89.62960820123604
3.55,41.73,0.7257,0.1451,90.0,51.88,74.25,1.518,0.3573,89.62960820123604
3.516,40.79,0.6922,0.1563,90.0,51.88,74.25,1.518,0.3573,89.62960820123604
42.4,138.0,1.418,0.268,90.0,52.6,142.9,1.451,0.2791,89.73938418587672
32.25,131.0,1.351,0.2233,89.78131488057703,52.6,142.9,1.451,0.2791,89.73938418587672
22.24,119.8,1.105,0.2345,89.73217526849669,52.6,142.9,1.451,0.2791,89.73938418587672
20.02,117.3,1.172,0.2456,89.77531182037549,52.6,142.9,1.451,0.2791,89.73938418587672
17.5,113.6,1.183,0.2568,90.0,52.6,142.9,1.451,0.2791,89.73938418587672
15.26,109.9,1.217,0.1898,89.90094461090469,52.6,142.9,1.451,0.2791,89.73938418587672
13.83,106.0,1.038,0.1898,89.89730012784152,52.6,142.9,1.451,0.2791,89.73938418587672
11.99,101.5,0.949,0.2233,89.60486295749251,52.6,142.9,1.451,0.2791,89.73938418587672
10.72,99.21,1.005,0.201,89.70546728998872,52.6,142.9,1.451,0.2791,89.73938418587672
9.646,95.45,0.8485,0.2121,90.0,52.6,142.9,1.451,0.2791,89.73938418587672
8.623,92.32,0.815,0.1898,89.9075274725423,52.6,142.9,1.451,0.2791,89.73938418587672
7.669,88.65,0.8262,0.1786,89.80158224484789,52.6,142.9,1.451,0.2791,89.73938418587672
6.474,84.16,0.7146,0.1675,90.0,52.6,142.9,1.451,0.2791,89.73938418587672
5.325,78.96,0.7756,0.1459,89.90639375656937,52.6,142.9,1.451,0.2791,89.73938418587672
4.466,72.8,0.5965,0.08812,89.91185271644711,52.6,142.9,1.451,0.2791,89.73938418587672
3.238,62.75,0.5917,0.1284,90.0,52.6,142.9,1.451,0.2791,89.73938418587672
42.36,0.1309,1.329,0.268,90.0,52.07,135.3,1.329,0.2791,89.90260150336807
32.3,124.5,1.172,0.2121,90.0,52.07,135.3,1.329,0.2791,89.90260150336807
21.96,115.3,1.25,0.201,89.89564526979002,52.07,135.3,1.329,0.2791,89.90260150336807
20.14,112.9,1.116,0.1563,89.6955080241845,52.07,135.3,1.329,0.2791,89.90260150336807
17.91,109.7,1.072,0.1898,89.72318571676068,52.07,135.3,1.329,0.2791,89.90260150336807
15.16,106.1,1.05,0.201,89.68139338849883,52.07,135.3,1.329,0.2791,89.90260150336807
13.5,103.0,0.9714,0.1675,89.79418109481826,52.07,135.3,1.329,0.2791,89.90260150336807
11.29,97.82,0.8709,0.1675,90.0,52.07,135.3,1.329,0.2791,89.90260150336807
10.43,95.4,0.9379,0.201,89.90991237060162,52.07,135.3,1.329,0.2791,89.90260150336807
9.001,91.84,1.016,0.1563,89.68807048430217,52.07,135.3,1.329,0.2791,89.90260150336807
8.694,89.12,0.8887,0.1607,89.65090638135955,52.07,135.3,1.329,0.2791,89.90260150336807
7.349,85.45,0.7034,0.134,89.80689149188737,52.07,135.3,1.329,0.2791,89.90260150336807
6.179,81.36,0.7592,0.134,90.0,52.07,135.3,1.329,0.2791,89.90260150336807
5.756,76.11,0.8709,0.08932,89.6386597089212,52.07,135.3,1.329,0.2791,89.90260150336807
4.491,70.28,0.8039,0.1228,89.81656934623152,52.07,135.3,1.329,0.2791,89.90260150336807
3.156,61.16,0.5192,0.08932,89.89788696280674,52.07,135.3,1.329,0.2791,89.90260150336807
41.87,130.0,1.262,0.268,89.69589448750644,51.87,135.5,1.34,0.3015,89.48414050017037
31.66,123.4,1.273,0.2456,89.9024951208873,51.87,135.5,1.34,0.3015,89.48414050017037
21.79,113.9,1.094,0.2121,89.89939294007561,51.87,135.5,1.34,0.3015,89.48414050017037
19.48,112.0,1.083,0.2345,90.0,51.87,135.5,1.34,0.3015,89.48414050017037
17.56,108.4,1.172,0.1563,90.0,51.87,135.5,1.34,0.3015,89.48414050017037
15.92,105.1,1.05,0.2345,89.90187221475907,51.87,135.5,1.34,0.3015,89.48414050017037
13.4,101.4,1.05,0.1786,90.0,51.87,135.5,1.34,0.3015,89.48414050017037
11.55,96.99,0.815,0.201,89.89957446599988,51.87,135.5,1.34,0.3015,89.48414050017037
10.66,94.35,0.8932,0.1675,89.90283713901047,51.87,135.5,1.34,0.3015,89.48414050017037
9.366,91.43,7704.0,0.1786,89.9066273259337,51.87,135.5,1.34,0.3015,89.48414050017037
8.591,88.09,0.815,0.2233,89.62080881180898,51.87,135.5,1.34,0.3015,89.48414050017037
7.558,84.14,0.9044,0.1898,89.80592780233094,51.87,135.5,1.34,0.3015,89.48414050017037
6.43,80.31,1.05,0.2121,89.9065404002084,51.87,135.5,1.34,0.3015,89.48414050017037
5.342,75.05,0.8597,0.1451,90.0,51.87,135.5,1.34,0.3015,89.48414050017037
4.466,69.33,0.6755,0.1116,89.90744090980563,51.87,135.5,1.34,0.3015,89.48414050017037
3.321,61.98,0.508,0.128,89.9066332912462,51.87,135.5,1.34,0.3015,89.48414050017037
41.93,131.2,1.284,0.1675,89.52836856509232,52.6,135.4,1.284,0.201,89.68686517943412
33.22,124.4,1.34,0.1675,89.91709619682538,52.6,135.4,1.284,0.201,89.68686517943412
22.08,114.4,1.094,0.1786,89.89983265534869,52.6,135.4,1.284,0.201,89.68686517943412
19.69,111.8,1.217,0.201,89.69251218542222,52.6,135.4,1.284,0.201,89.68686517943412
17.39,109.0,1.072,0.2121,89.8107669208612,52.6,135.4,1.284,0.201,89.68686517943412
16.11,105.6,0.9379,0.2121,89.70158718000512,52.6,135.4,1.284,0.201,89.68686517943412
13.39,102.0,1.027,0.1675,89.89327269101504,52.6,135.4,1.284,0.201,89.68686517943412
12.03,97.47,1.038,0.134,89.90594730185755,52.6,135.4,1.284,0.201,89.68686517943412
10.61,94.48,1.05,0.1228,89.89690651983854,52.6,135.4,1.284,0.201,89.68686517943412
9.61,91.88,1.083,0.134,89.90957900378366,52.6,135.4,1.284,0.201,89.68686517943412
8.474,88.9,0.8597,0.1786,89.79376186435417,52.6,135.4,1.284,0.201,89.68686517943412
7.762,84.82,1.005,0.1116,89.80951013568908,52.6,135.4,1.284,0.201,89.68686517943412
6.915,80.63,0.8485,0.1451,89.79108415572414,52.6,135.4,1.284,0.201,89.68686517943412
5.679,75.71,0.7413,0.1189,90.0,52.6,135.4,1.284,0.201,89.68686517943412
4.538,69.66,0.6476,0.1396,90.0,52.6,135.4,1.284,0.201,89.68686517943412
41.76,140.2,1.329,0.268,89.63628702705292,52.2,146.5,1.429,0.3461,89.78489740149163
31.42,133.4,1.384,0.268,89.7079400853171,52.2,146.5,1.429,0.3461,89.78489740149163
21.41,122.9,1.139,0.2233,90.0,52.2,146.5,1.429,0.3461,89.78489740149163
19.49,120.0,1.25,0.1786,90.0,52.2,146.5,1.429,0.3461,89.78489740149163
17.3,116.8,1.25,0.2345,89.77925536634719,52.2,146.5,1.429,0.3461,89.78489740149163
15.45,113.3,1.273,0.2345,89.78760708588669,52.2,146.5,1.429,0.3461,89.78489740149163
13.39,108.7,1.027,0.2456,90.0,52.2,146.5,1.429,0.3461,89.78489740149163
11.5,103.5,1.061,0.2121,89.81731842349217,52.2,146.5,1.429,0.3461,89.78489740149163
10.52,100.1,1.061,0.2233,90.0,52.2,146.5,1.429,0.3461,89.78489740149163
9.517,97.19,0.9044,0.1898,89.89211734479088,52.2,146.5,1.429,0.3461,89.78489740149163
8.162,93.54,1.005,0.2456,89.89954566803382,52.2,146.5,1.429,0.3461,89.78489740149163
7.339,89.34,0.9602,0.1675,89.81914756926068,52.2,146.5,1.429,0.3461,89.78489740149163
6.196,85.31,0.776,0.1563,89.90328701894273,52.2,146.5,1.429,0.3461,89.78489740149163
5.265,80.44,0.6417,0.1319,89.91238966450044,52.2,146.5,1.429,0.3461,89.78489740149163
3.908,70.79,0.6364,0.1284,90.0,52.2,146.5,1.429,0.3461,89.78489740149163
41.53,134.4,1.317,0.2903,89.8081621693895,51.81,139.3,1.362,0.2345,89.54345320000395
32.11,128.2,1.373,0.268,89.80335379096512,51.81,139.3,1.362,0.2345,89.54345320000395
21.38,117.5,1.15,0.268,89.5904031071388,51.81,139.3,1.362,0.2345,89.54345320000395
19.5,114.7,1.105,0.1675,89.69529122927615,51.81,139.3,1.362,0.2345,89.54345320000395
17.52,112.0,1.05,0.1619,89.80048871700079,51.81,139.3,1.362,0.2345,89.54345320000395
15.09,108.3,1.105,167.5,90.0,51.81,139.3,1.362,0.2345,89.54345320000395
13.43,104.4,0.9379,0.1675,89.8134052091593,51.81,139.3,1.362,0.2345,89.54345320000395
11.44,99.56,0.9602,0.201,89.70650269217846,51.81,139.3,1.362,0.2345,89.54345320000395
10.59,95.94,1.161,0.2177,89.52045615345799,51.81,139.3,1.362,0.2345,89.54345320000395
8.901,93.46,1.038,0.1786,90.0,51.81,139.3,1.362,0.2345,89.54345320000395
8.115,89.8,0.9044,0.134,89.77477387536915,51.81,139.3,1.362,0.2345,89.54345320000395
7.195,86.5,0.7815,0.1563,89.78803970168906,51.81,139.3,1.362,0.2345,89.54345320000395
6.092,82.45,0.7592,0.1396,89.90618649700428,51.81,139.3,1.362,0.2345,89.54345320000395
5.332,76.7,0.7146,0.134,89.81847682087688,51.81,139.3,1.362,0.2345,89.54345320000395
3.957,69.55,0.6866,0.1172,89.90114325350154,51.81,139.3,1.362,0.2345,89.54345320000395
3.637,65.35,0.5638,0.1061,89.71856469309276,51.81,139.3,1.362,0.2345,89.54345320000395
42.08,134.1,1.429,0.268,90.0,51.85,139.8,1.34,0.3349,89.79917870533113
32.05,128.2,1.362,0.2345,89.81676139226902,51.85,139.8,1.34,0.3349,89.79917870533113
22.16,117.8,1.061,0.2345,89.60117334143419,51.85,139.8,1.34,0.3349,89.79917870533113
19.99,114.6,1.072,156.3,89.42006252637069,51.85,139.8,1.34,0.3349,89.79917870533113
18.12,111.4,1.105,0.1786,89.60397623291509,51.85,139.8,1.34,0.3349,89.79917870533113
15.62,108.7,1.083,0.2568,89.69428485051797,51.85,139.8,1.34,0.3349,89.79917870533113
13.73,104.4,1.183,0.2568,89.71462108268528,51.85,139.8,1.34,0.3349,89.79917870533113
11.92,100.2,1.094,0.2233,89.53112285022857,51.85,139.8,1.34,0.3349,89.79917870533113
10.6,97.65,0.8262,0.1675,89.59163146666076,51.85,139.8,1.34,0.3349,89.79917870533113
9.035,93.48,1.038,0.1786,90.0,51.85,139.8,1.34,0.3349,89.79917870533113
8.679,90.97,1.005,0.1786,89.51189232815534,51.85,139.8,1.34,0.3349,89.79917870533113
7.423,86.93,0.8262,0.1228,89.5650007142944,51.85,139.8,1.34,0.3349,89.79917870533113
6.753,82.6,0.7592,0.1451,89.54982813884253,51.85,139.8,1.34,0.3349,89.79917870533113
5.469,78.1,0.7146,0.134,89.81366098992532,51.85,139.8,1.34,0.3349,89.79917870533113
4.289,71.59,0.6476,0.1172,89.91196353140766,51.85,139.8,1.34,0.3349,89.79917870533113
3.283,63.51,0.6029,0.1061,89.81505914016554,51.85,139.8,1.34,0.3349,89.79917870533113
42.07,133.7,1.563,0.2345,89.88000901413646,52.02,137.6,1.295,0.268,89.70019923867595
31.88,126.6,1.217,0.268,89.89590825600534,52.02,137.6,1.295,0.268,89.70019923867595
20.89,116.8,1.116,0.2456,89.78416075571438,52.02,137.6,1.295,0.268,89.70019923867595
20.03,113.9,0.9937,0.201,89.71327197810793,52.02,137.6,1.295,0.268,89.70019923867595
17.91,111.2,1.195,0.2233,89.59811173480476,52.02,137.6,1.295,0.268,89.70019923867595
15.84,107.4,1.183,0.1898,89.7812741574867,52.02,137.6,1.295,0.268,89.70019923867595
13.98,103.9,0.9937,0.2121,89.63053281823593,52.02,137.6,1.295,0.268,89.70019923867595
11.81,99.23,1.027,0.1451,89.73439615253304,52.02,137.6,1.295,0.268,89.70019923867595
10.68,96.43,0.9602,0.1786,89.70885937646868,52.02,137.6,1.295,0.268,89.70019923867595
9.563,93.87,0.9602,0.1563,89.73082717721819,52.02,137.6,1.295,0.268,89.70019923867595
8.742,90.34,1.083,0.1675,89.70825956608338,52.02,137.6,1.295,0.268,89.70019923867595
7.542,0.0859,0.9937,0.1898,17.112829972740386,52.02,137.6,1.295,0.268,89.70019923867595
6.565,82.55,0.8932,0.1451,89.7091856395294,52.02,137.6,1.295,0.268,89.70019923867595
5.855,77.61,0.6699,0.1116,89.54007854712,52.02,137.6,1.295,0.268,89.70019923867595
4.578,71.57,0.709,0.1228,89.64215620460268,52.02,137.6,1.295,0.268,89.70019923867595
3.138,62.19,0.642,0.1005,90.0,52.02,137.6,1.295,0.268,89.70019923867595
42.08,132.3,1.273,0.3015,89.90039292507863,51.81,136.9,1.329,0.2903,89.6275199022069
31.89,126.0,1.217,0.2568,89.79992031340147,51.81,136.9,1.329,0.2903,89.6275199022069
21.98,117.4,1.116,0.2121,89.89751191767527,51.81,136.9,1.329,0.2903,89.6275199022069
19.79,113.7,1.061,0.1898,90.0,51.81,136.9,1.329,0.2903,89.6275199022069
18.06,111.2,1.139,0.2233,89.5775028090557,51.81,136.9,1.329,0.2903,89.6275199022069
15.45,107.8,1.016,0.2233,89.79803055626412,51.81,136.9,1.329,0.2903,89.6275199022069
13.13,103.8,0.9267,0.1786,89.8840838412149,51.81,136.9,1.329,0.2903,89.6275199022069
11.4,99.04,0.9602,0.1451,89.90165314063694,51.81,136.9,1.329,0.2903,89.6275199022069
10.58,96.01,1.083,0.2121,89.8209699207062,51.81,136.9,1.329,0.2903,89.6275199022069
9.693,93.54,0.9602,0.1116,89.8021545517649,51.81,136.9,1.329,0.2903,89.6275199022069
8.562,89.98,0.9825,0.1563,89.90448589724727,51.81,136.9,1.329,0.2903,89.6275199022069
7.349,86.46,0.8709,0.1228,89.80914731124832,51.81,136.9,1.329,0.2903,89.6275199022069
6.635,82.25,0.9267,0.1451,89.6147831166091,51.81,136.9,1.329,0.2903,89.6275199022069
5.551,77.17,0.7425,0.1116,89.69856327770114,51.81,136.9,1.329,0.2903,89.6275199022069
4.228,71.06,0.6476,0.0949,90.0,51.81,136.9,1.329,0.2903,89.6275199022069
3.181,62.38,0.642,0.1172,89.90539499957235,51.81,136.9,1.329,0.2903,89.6275199022069
42.08,134.8,1.306,0.2233,89.70672297780796,51.41,138.7,1.429,0.2456,89.136704274716
31.83,128.3,1.34,0.2345,89.66953697044644,51.41,138.7,1.429,0.2456,89.136704274716
21.9,117.6,1.105,0.201,89.90743036874683,51.41,138.7,1.429,0.2456,89.136704274716
19.29,114.5,1.239,0.2791,89.60969417705444,51.41,138.7,1.429,0.2456,89.136704274716
17.65,111.4,1.116,0.1786,89.89713515627598,51.41,138.7,1.429,0.2456,89.136704274716
15.94,108.9,0.9155,0.2233,89.79480938034057,51.41,138.7,1.429,0.2456,89.136704274716
13.78,104.6,0.9714,0.1675,90.0,51.41,138.7,1.429,0.2456,89.136704274716
